audio_array,translated_text
"[ 0.          0.          0.         ... -0.00582969 -0.00332552
 -0.00426018]",He said the speech of his 2 hours that today is going to invent his phone again. We're going to watch history today.
"[ 0.          0.          0.         ... -0.00939882 -0.00885564
 -0.0094915 ]",Games started with a good weather at 10:00 am and the split of the middle of the night that was cleared quickly. It was a perfect day for 7 mugby
"[ 0.          0.          0.         ... -0.00034326 -0.0003795
  0.0002954 ]","If a ride from the horseps be thrown, were fled on the legs, far and stopped dumped in the legs to the popline and fled.It can also be more war horse at all threatened."
[0.         0.         0.         ... 0.00275797 0.00340319 0.00190723],In 1995 he was selected as the best players in the history of party.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -1.20401382e-05
  7.56978989e-06  1.04904175e-05]",Now it is now managing but the image of the larger sync sensor formo's format of the digital camera have received its aspacac raceos of the image senso.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -5.20944595e-05
 -5.31673431e-05 -3.39746475e-05]",A traveler is to judge a traveler around the plane to a traveler all over the plane in the plane in the plane in the plane that shattered with being in the hotel
[0.         0.         0.         ... 0.00044459 0.0006035  0.00083709],Each episod of a link will focus on a the the book and then will go on multiple stories
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -3.40938568e-05
 -4.98294830e-05 -2.35438347e-05]","According to this escape, Khllok was in the Chalpkey 2,250 points with Daleshoki Chimpitals in Championships."
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  2.56776810e-04
 -5.90920448e-04  9.29236412e-05]",Ceps represents a 10.8 km causes a journey of about 12 km or 8 miles to the 8 miles of Los Angelations.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -8.44001770e-05
  1.61969662e-03 -8.15331936e-04]",The crewkermakers are working for an act of architecture to reads the ship
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -6.02006912e-05
  6.02006912e-06  6.39557838e-05]",No one has paid for or no more goals for the club other than the babber
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -1.77621841e-05
 -1.60932541e-05 -1.87754631e-05]",If the Symptom of Flu is slightly adjusted to continue their duly activities.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -2.58684158e-05
 -2.44975090e-05 -2.71797180e-05]",US weakaa said to be the investigation of incidence as well
